PF02792	PF02792	PF15620	PF15620	0.0578552559936856	
PF13885	PF13885	PF18439	PF18439	0.0160927513672082	
PF09723	PF09723	PF13885	PF13885	0.0156715097427687	
PF13885	PF13885	PF16622	PF16622	0.0133117468224284	
PF00096	PF00096	PF11976	PF11976	0.0	
PF00096	PF00096	PF00240	PF00240	0.0	
PF11976	PF11976	PF13465	PF13465	0.0	
PF00240	PF00240	PF13465	PF13465	0.0	
PF11976	PF11976	PF13894	PF13894	0.0	
PF00240	PF00240	PF13894	PF13894	0.0	
PF00096	PF00096	PF00157	PF00157	0.0	
PF00046	PF00046	PF00096	PF00096	0.0	
PF00157	PF00157	PF13465	PF13465	0.0	
PF00046	PF00046	PF13465	PF13465	0.0	
PF00157	PF00157	PF13894	PF13894	0.0	
PF00046	PF00046	PF13894	PF13894	0.0	
PF00096	PF00096	PF13637	PF13637	0.0	
PF00096	PF00096	PF12796	PF12796	0.0	
PF00023	PF00023	PF00096	PF00096	0.0	
PF00096	PF00096	PF13606	PF13606	0.0	
PF00018	PF00018	PF00096	PF00096	0.0	
PF00096	PF00096	PF14604	PF14604	0.0	
PF00096	PF00096	PF13857	PF13857	0.0	
PF00096	PF00096	PF07653	PF07653	0.0	
PF13465	PF13465	PF13637	PF13637	0.0	
PF12796	PF12796	PF13465	PF13465	0.0	
PF00023	PF00023	PF13465	PF13465	0.0	
PF13465	PF13465	PF13606	PF13606	0.0	
PF00018	PF00018	PF13465	PF13465	0.0	
PF13465	PF13465	PF14604	PF14604	0.0	
PF13465	PF13465	PF13857	PF13857	0.0	
PF07653	PF07653	PF13465	PF13465	0.0	
PF13637	PF13637	PF13894	PF13894	0.0	
PF12796	PF12796	PF13894	PF13894	0.0	
PF00023	PF00023	PF13894	PF13894	0.0	
PF13606	PF13606	PF13894	PF13894	0.0	
PF00018	PF00018	PF13894	PF13894	0.0	
PF13894	PF13894	PF14604	PF14604	0.0	
PF13857	PF13857	PF13894	PF13894	0.0	
PF07653	PF07653	PF13894	PF13894	0.0	
PF00096	PF00096	PF04803	PF04803	0.0	
PF04803	PF04803	PF13465	PF13465	0.0015096812826294	
PF04803	PF04803	PF13894	PF13894	0.0	
PF00096	PF00096	PF13465	PF13465	0.0	
PF00096	PF00096	PF00096	PF00096	0.0	
PF00096	PF00096	PF13894	PF13894	0.0	
PF13465	PF13465	PF13465	PF13465	0.0	
PF13465	PF13465	PF13894	PF13894	0.0	
PF13894	PF13894	PF13894	PF13894	0.0	
PF00096	PF00096	PF12171	PF12171	0.0	
PF00096	PF00096	PF13912	PF13912	0.0	
PF12171	PF12171	PF13465	PF13465	0.0	
PF13465	PF13465	PF13912	PF13912	0.0	
PF12171	PF12171	PF13894	PF13894	0.0	
PF13894	PF13894	PF13912	PF13912	0.0	
PF00096	PF00096	PF07809	PF07809	0.0	
PF07809	PF07809	PF13465	PF13465	0.0	
PF07809	PF07809	PF13894	PF13894	0.0	
PF00096	PF00096	PF00956	PF00956	0.0	
PF00956	PF00956	PF13465	PF13465	0.0	
PF00956	PF00956	PF13894	PF13894	0.0	
PF00096	PF00096	PF06456	PF06456	0.0	
PF00096	PF00096	PF00595	PF00595	0.0	
PF00096	PF00096	PF17820	PF17820	0.0	
PF00096	PF00096	PF03114	PF03114	0.0	
PF00096	PF00096	PF13180	PF13180	0.0	
PF06456	PF06456	PF13465	PF13465	0.0	
PF00595	PF00595	PF13465	PF13465	0.0	
PF13465	PF13465	PF17820	PF17820	0.0	
PF03114	PF03114	PF13465	PF13465	0.0	
PF13180	PF13180	PF13465	PF13465	0.0	
PF06456	PF06456	PF13894	PF13894	0.0	
PF00595	PF00595	PF13894	PF13894	0.0	
PF13894	PF13894	PF17820	PF17820	0.0	
PF03114	PF03114	PF13894	PF13894	0.0	
PF13180	PF13180	PF13894	PF13894	0.0	
PF08365	PF08365	PF15014	PF15014	0.2002390912703693	
PF00049	PF00049	PF15014	PF15014	0.0170635175614204	
PF00494	PF00494	PF15014	PF15014	0.0877305260994636	
PF01769	PF01769	PF15014	PF15014	0.2431104538229796	
PF01569	PF01569	PF15014	PF15014	0.0217439761714507	
PF04756	PF04756	PF15014	PF15014	0.0123745333383723	
PF00001	PF00001	PF15014	PF15014	0.0	
PF09764	PF09764	PF15014	PF15014	0.2810398363683589	
PF00632	PF00632	PF00646	PF00646	0.0	
PF00397	PF00397	PF00646	PF00646	0.0	
PF00632	PF00632	PF12937	PF12937	0.0	
PF00397	PF00397	PF12937	PF12937	0.0	
PF00646	PF00646	PF03803	PF03803	0.0	
PF03803	PF03803	PF12937	PF12937	0.0	
PF00646	PF00646	PF14604	PF14604	0.0	
PF00018	PF00018	PF00646	PF00646	0.0	
PF00611	PF00611	PF00646	PF00646	0.0	
PF00646	PF00646	PF07653	PF07653	0.0	
PF12937	PF12937	PF14604	PF14604	0.0	
PF00018	PF00018	PF12937	PF12937	0.0	
PF00611	PF00611	PF12937	PF12937	0.0	
PF07653	PF07653	PF12937	PF12937	0.0	
PF00646	PF00646	PF00899	PF00899	0.0	
PF00581	PF00581	PF00646	PF00646	0.0	
PF00899	PF00899	PF12937	PF12937	0.0	
PF00581	PF00581	PF12937	PF12937	0.0	
PF00646	PF00646	PF07714	PF07714	0.0	
PF00069	PF00069	PF00646	PF00646	0.0	
PF00646	PF00646	PF16920	PF16920	0.0	
PF00646	PF00646	PF07679	PF07679	0.0	
PF00646	PF00646	PF13855	PF13855	0.0	
PF00646	PF00646	PF18613	PF18613	0.0018671779832487	
PF00646	PF00646	PF13927	PF13927	0.0	
PF07714	PF07714	PF12937	PF12937	0.0	
PF00069	PF00069	PF12937	PF12937	0.0	
PF12937	PF12937	PF16920	PF16920	0.0	
PF07679	PF07679	PF12937	PF12937	0.0	
PF12937	PF12937	PF13855	PF13855	0.0	
PF12937	PF12937	PF18613	PF18613	0.002701547144885	
PF12937	PF12937	PF13927	PF13927	0.0	
PF00183	PF00183	PF00646	PF00646	0.0024214772350261	
PF00646	PF00646	PF02518	PF02518	0.0	
PF00646	PF00646	PF13589	PF13589	0.0	
PF00183	PF00183	PF12937	PF12937	0.0034673869487084	
PF02518	PF02518	PF12937	PF12937	0.0	
PF12937	PF12937	PF13589	PF13589	0.0018170059705226	
PF00227	PF00227	PF00646	PF00646	0.0	
PF00646	PF00646	PF10584	PF10584	0.0	
PF00227	PF00227	PF12937	PF12937	0.0	
PF10584	PF10584	PF12937	PF12937	0.0	
PF00503	PF00503	PF00646	PF00646	0.0	
PF00025	PF00025	PF00646	PF00646	0.0	
PF00503	PF00503	PF12937	PF12937	0.0	
PF00025	PF00025	PF12937	PF12937	0.0	
PF00646	PF00646	PF01454	PF01454	0.0	
PF00646	PF00646	PF12440	PF12440	0.0	
PF01454	PF01454	PF12937	PF12937	0.0	
PF12440	PF12440	PF12937	PF12937	0.0	
PF00646	PF00646	PF13885	PF13885	0.0	
PF12937	PF12937	PF13885	PF13885	0.0	
PF00013	PF00013	PF00646	PF00646	0.0	
PF00646	PF00646	PF08067	PF08067	0.0020991681424559	
PF00646	PF00646	PF07650	PF07650	0.0	
PF00646	PF00646	PF13083	PF13083	0.0	
PF00013	PF00013	PF12937	PF12937	0.0	
PF08067	PF08067	PF12937	PF12937	0.0029255915162122	
PF07650	PF07650	PF12937	PF12937	0.0	
PF12937	PF12937	PF13083	PF13083	0.0	
PF00646	PF00646	PF15070	PF15070	0.0	
PF12937	PF12937	PF15070	PF15070	0.0	
PF00646	PF00646	PF04516	PF04516	0.0	
PF00646	PF00646	PF18016	PF18016	0.0	
PF04516	PF04516	PF12937	PF12937	0.0	
PF12937	PF12937	PF18016	PF18016	0.0	
PF00646	PF00646	PF16673	PF16673	0.0	
PF12937	PF12937	PF16673	PF16673	0.0	
PF00646	PF00646	PF17751	PF17751	0.0	
PF00646	PF00646	PF18112	PF18112	0.0	
PF12937	PF12937	PF17751	PF17751	0.0	
PF12937	PF12937	PF18112	PF18112	0.0	
PF00646	PF00646	PF12937	PF12937	0.0	
PF00646	PF00646	PF00646	PF00646	0.0	
PF12937	PF12937	PF12937	PF12937	0.0	
PF00646	PF00646	PF00888	PF00888	0.0050582686149584	
PF00646	PF00646	PF10557	PF10557	0.0059573198724411	
PF00888	PF00888	PF12937	PF12937	0.0077424242679658	
PF10557	PF10557	PF12937	PF12937	0.0095845689355545	
PF00412	PF00412	PF00646	PF00646	0.0	
PF00412	PF00412	PF12937	PF12937	0.0	
PF00622	PF00622	PF00646	PF00646	0.0	
PF00646	PF00646	PF13765	PF13765	0.0	
PF00646	PF00646	PF15227	PF15227	0.0	
PF00646	PF00646	PF13445	PF13445	0.0	
PF00097	PF00097	PF00646	PF00646	0.0	
PF00646	PF00646	PF13923	PF13923	0.0	
PF00646	PF00646	PF13639	PF13639	0.0	
PF00646	PF00646	PF13920	PF13920	0.0	
PF00646	PF00646	PF14634	PF14634	0.0	
PF00622	PF00622	PF12937	PF12937	0.0	
PF12937	PF12937	PF13765	PF13765	0.0	
PF12937	PF12937	PF15227	PF15227	0.0	
PF12937	PF12937	PF13445	PF13445	0.0	
PF00097	PF00097	PF12937	PF12937	0.0	
PF12937	PF12937	PF13923	PF13923	0.0	
PF12937	PF12937	PF13639	PF13639	0.0	
PF12937	PF12937	PF13920	PF13920	0.0	
PF12937	PF12937	PF14634	PF14634	0.0	
PF00646	PF00646	PF18118	PF18118	0.0	
PF00646	PF00646	PF00856	PF00856	0.0	
PF00646	PF00646	PF11616	PF11616	0.0015937684369025	
PF00646	PF00646	PF18264	PF18264	0.0	
PF12937	PF12937	PF18118	PF18118	0.0018585200717313	
PF00856	PF00856	PF12937	PF12937	0.0	
PF11616	PF11616	PF12937	PF12937	0.0021512807661588	
PF12937	PF12937	PF18264	PF18264	0.0	
PF00501	PF00501	PF00646	PF00646	0.0	
PF00646	PF00646	PF13193	PF13193	0.0	
PF00501	PF00501	PF12937	PF12937	0.0	
PF12937	PF12937	PF13193	PF13193	0.0	
PF00038	PF00038	PF00646	PF00646	0.0	
PF00038	PF00038	PF12937	PF12937	0.0	
PF00646	PF00646	PF05049	PF05049	0.0	
PF00646	PF00646	PF01926	PF01926	0.0	
PF05049	PF05049	PF12937	PF12937	0.0	
PF01926	PF01926	PF12937	PF12937	0.0	
PF00021	PF00021	PF00646	PF00646	0.0	
PF00021	PF00021	PF12937	PF12937	0.0	
PF00646	PF00646	PF13012	PF13012	0.0	
PF00646	PF00646	PF01398	PF01398	0.0	
PF12937	PF12937	PF13012	PF13012	0.0017348830696079	
PF01398	PF01398	PF12937	PF12937	0.0016074664748777	
PF00008	PF00008	PF00646	PF00646	0.0	
PF00646	PF00646	PF12661	PF12661	0.0	
PF00646	PF00646	PF07645	PF07645	0.0	
PF00646	PF00646	PF07974	PF07974	0.0	
PF00646	PF00646	PF12947	PF12947	0.0	
PF00008	PF00008	PF12937	PF12937	0.0	
PF12661	PF12661	PF12937	PF12937	0.0	
PF07645	PF07645	PF12937	PF12937	0.0	
PF07974	PF07974	PF12937	PF12937	0.0	
PF12937	PF12937	PF12947	PF12947	0.0	
PF00646	PF00646	PF13516	PF13516	0.0	
PF00646	PF00646	PF12799	PF12799	0.0	
PF00560	PF00560	PF00646	PF00646	0.0	
PF12937	PF12937	PF13516	PF13516	0.0	
PF12799	PF12799	PF12937	PF12937	0.0	
PF00560	PF00560	PF12937	PF12937	0.0	
PF00646	PF00646	PF14893	PF14893	0.0	
PF12937	PF12937	PF14893	PF14893	0.0	
PF00646	PF00646	PF18323	PF18323	0.007017869140085	
PF12937	PF12937	PF18323	PF18323	0.0110614853857891	
PF00076	PF00076	PF00646	PF00646	0.0	
PF00076	PF00076	PF12937	PF12937	0.0	
PF00646	PF00646	PF12148	PF12148	0.0019840445377161	
PF00646	PF00646	PF02182	PF02182	0.0	
PF00240	PF00240	PF00646	PF00646	0.0	
PF00628	PF00628	PF00646	PF00646	0.0	
PF12148	PF12148	PF12937	PF12937	0.0027262665586857	
PF02182	PF02182	PF12937	PF12937	0.0	
PF00240	PF00240	PF12937	PF12937	0.0	
PF00628	PF00628	PF12937	PF12937	0.0	
PF00646	PF00646	PF15316	PF15316	0.0018634473738148	
PF12937	PF12937	PF15316	PF15316	0.0026951453826345	
PF00646	PF00646	PF01500	PF01500	0.0	
PF01500	PF01500	PF12937	PF12937	0.0	
PF00400	PF00400	PF00646	PF00646	0.0	
PF00646	PF00646	PF12894	PF12894	0.0	
PF00646	PF00646	PF08662	PF08662	0.0	
PF00646	PF00646	PF08513	PF08513	0.0	
PF00400	PF00400	PF12937	PF12937	0.0	
PF12894	PF12894	PF12937	PF12937	0.0	
PF08662	PF08662	PF12937	PF12937	0.0	
PF08513	PF08513	PF12937	PF12937	0.0	
PF00646	PF00646	PF02176	PF02176	0.0	
PF02176	PF02176	PF12937	PF12937	0.0	
PF00168	PF00168	PF00646	PF00646	0.0	
PF00168	PF00168	PF12937	PF12937	0.0	
PF00646	PF00646	PF18568	PF18568	0.0	
PF00643	PF00643	PF00646	PF00646	0.0	
PF00041	PF00041	PF00646	PF00646	0.0	
PF12937	PF12937	PF18568	PF18568	0.0025418976806384	
PF00643	PF00643	PF12937	PF12937	0.0	
PF00041	PF00041	PF12937	PF12937	0.0	
PF00646	PF00646	PF01466	PF01466	0.0594876455617057	
PF00646	PF00646	PF03931	PF03931	0.0436826010082661	
PF01466	PF01466	PF12937	PF12937	0.0537672497920759	
PF03931	PF03931	PF12937	PF12937	0.0405521887598175	
PF00443	PF00443	PF00611	PF00611	0.0	
PF00611	PF00611	PF06337	PF06337	0.0	
PF00611	PF00611	PF13423	PF13423	0.0	
PF00611	PF00611	PF02148	PF02148	0.0	
PF00443	PF00443	PF00635	PF00635	0.0	
PF00635	PF00635	PF06337	PF06337	0.007184145126526	
PF00635	PF00635	PF13423	PF13423	0.0	
PF00635	PF00635	PF02148	PF02148	0.0030072984591127	
PF00443	PF00443	PF03179	PF03179	0.0	
PF03179	PF03179	PF06337	PF06337	0.003339641714673	
PF03179	PF03179	PF13423	PF13423	0.0	
PF02148	PF02148	PF03179	PF03179	0.0	
PF00443	PF00443	PF13899	PF13899	0.0	
PF06337	PF06337	PF13899	PF13899	0.0	
PF13423	PF13423	PF13899	PF13899	0.0	
PF02148	PF02148	PF13899	PF13899	0.0	
PF00443	PF00443	PF00992	PF00992	0.0	
PF00992	PF00992	PF06337	PF06337	0.0	
PF00992	PF00992	PF13423	PF13423	0.0	
PF00992	PF00992	PF02148	PF02148	0.0	
PF00010	PF00010	PF00443	PF00443	0.0	
PF00010	PF00010	PF06337	PF06337	0.0	
PF00010	PF00010	PF13423	PF13423	0.0	
PF00010	PF00010	PF02148	PF02148	0.0	
PF00443	PF00443	PF13832	PF13832	0.0	
PF00443	PF00443	PF10513	PF10513	0.0	
PF00443	PF00443	PF13771	PF13771	0.0	
PF00439	PF00439	PF00443	PF00443	0.0	
PF00443	PF00443	PF00855	PF00855	0.0	
PF00443	PF00443	PF13831	PF13831	0.0	
PF00443	PF00443	PF00628	PF00628	0.0	
PF06337	PF06337	PF13832	PF13832	0.0	
PF06337	PF06337	PF10513	PF10513	0.0	
PF06337	PF06337	PF13771	PF13771	0.0	
PF00439	PF00439	PF06337	PF06337	0.0	
PF00855	PF00855	PF06337	PF06337	0.0	
PF06337	PF06337	PF13831	PF13831	0.0	
PF00628	PF00628	PF06337	PF06337	0.0	
PF13423	PF13423	PF13832	PF13832	0.0	
PF10513	PF10513	PF13423	PF13423	0.0	
PF13423	PF13423	PF13771	PF13771	0.0	
PF00439	PF00439	PF13423	PF13423	0.0	
PF00855	PF00855	PF13423	PF13423	0.0	
PF13423	PF13423	PF13831	PF13831	0.0	
PF00628	PF00628	PF13423	PF13423	0.0	
PF02148	PF02148	PF13832	PF13832	0.0	
PF02148	PF02148	PF10513	PF10513	0.0	
PF02148	PF02148	PF13771	PF13771	0.0	
PF00439	PF00439	PF02148	PF02148	0.0	
PF00855	PF00855	PF02148	PF02148	0.0	
PF02148	PF02148	PF13831	PF13831	0.0	
PF00628	PF00628	PF02148	PF02148	0.0	
PF00443	PF00443	PF09341	PF09341	0.0	
PF06337	PF06337	PF09341	PF09341	0.0075377122202832	
PF09341	PF09341	PF13423	PF13423	0.0	
PF02148	PF02148	PF09341	PF09341	0.0031541773085321	
PF00096	PF00096	PF00443	PF00443	0.0	
PF00443	PF00443	PF13894	PF13894	0.0	
PF00443	PF00443	PF13465	PF13465	0.0	
PF00443	PF00443	PF15909	PF15909	0.0	
PF00443	PF00443	PF17017	PF17017	0.0	
PF00443	PF00443	PF13912	PF13912	0.0	
PF00096	PF00096	PF06337	PF06337	0.0	
PF06337	PF06337	PF13894	PF13894	0.0	
PF06337	PF06337	PF13465	PF13465	0.0	
PF06337	PF06337	PF15909	PF15909	0.0	
PF06337	PF06337	PF17017	PF17017	0.0075377122202832	
PF06337	PF06337	PF13912	PF13912	0.0	
PF00096	PF00096	PF13423	PF13423	0.0	
PF13423	PF13423	PF13894	PF13894	0.0	
PF13423	PF13423	PF13465	PF13465	0.0	
PF13423	PF13423	PF15909	PF15909	0.0	
PF13423	PF13423	PF17017	PF17017	0.0	
PF13423	PF13423	PF13912	PF13912	0.0	
PF00096	PF00096	PF02148	PF02148	0.0	
PF02148	PF02148	PF13894	PF13894	0.0	
PF02148	PF02148	PF13465	PF13465	0.0	
PF02148	PF02148	PF15909	PF15909	0.0	
PF02148	PF02148	PF17017	PF17017	0.003153872274211	
PF02148	PF02148	PF13912	PF13912	0.0	
PF00443	PF00443	PF01388	PF01388	0.0	
PF01388	PF01388	PF06337	PF06337	0.0	
PF01388	PF01388	PF13423	PF13423	0.0	
PF01388	PF01388	PF02148	PF02148	0.0	
PF00443	PF00443	PF00830	PF00830	0.0	
PF00830	PF00830	PF06337	PF06337	0.0049455088077155	
PF00830	PF00830	PF13423	PF13423	0.0	
PF00830	PF00830	PF02148	PF02148	0.0020804520044624	
PF00443	PF00443	PF06729	PF06729	0.0036460519004513	
PF06337	PF06337	PF06729	PF06729	0.0431433694080188	
PF06729	PF06729	PF13423	PF13423	0.0043771475161949	
PF02148	PF02148	PF06729	PF06729	0.0183540653666056	
PF00443	PF00443	PF15913	PF15913	0.0	
PF06337	PF06337	PF15913	PF15913	0.003106862663351	
PF13423	PF13423	PF15913	PF15913	0.0	
PF02148	PF02148	PF15913	PF15913	0.0	
PF00046	PF00046	PF00443	PF00443	0.0	
PF00046	PF00046	PF06337	PF06337	0.0	
PF00046	PF00046	PF13423	PF13423	0.0	
PF00046	PF00046	PF02148	PF02148	0.0	
PF00443	PF00443	PF01363	PF01363	0.0	
PF01363	PF01363	PF06337	PF06337	0.0	
PF01363	PF01363	PF13423	PF13423	0.0	
PF01363	PF01363	PF02148	PF02148	0.0	
PF00443	PF00443	PF01352	PF01352	0.0	
PF00443	PF00443	PF12171	PF12171	0.0	
PF00443	PF00443	PF09723	PF09723	0.0	
PF00443	PF00443	PF16622	PF16622	0.0	
PF00443	PF00443	PF13451	PF13451	0.0	
PF00443	PF00443	PF05191	PF05191	0.0	
PF00443	PF00443	PF12773	PF12773	0.0	
PF00443	PF00443	PF01286	PF01286	0.0	
PF00443	PF00443	PF17032	PF17032	0.0	
PF01352	PF01352	PF06337	PF06337	0.0	
PF06337	PF06337	PF12171	PF12171	0.0	
PF06337	PF06337	PF09723	PF09723	0.0	
PF06337	PF06337	PF16622	PF16622	0.0	
PF06337	PF06337	PF13451	PF13451	0.0	
PF05191	PF05191	PF06337	PF06337	0.0	
PF06337	PF06337	PF12773	PF12773	0.0	
PF01286	PF01286	PF06337	PF06337	0.0	
PF06337	PF06337	PF17032	PF17032	0.0	
PF01352	PF01352	PF13423	PF13423	0.0	
PF12171	PF12171	PF13423	PF13423	0.0	
PF09723	PF09723	PF13423	PF13423	0.0	
PF13423	PF13423	PF16622	PF16622	0.0	
PF13423	PF13423	PF13451	PF13451	0.0	
PF05191	PF05191	PF13423	PF13423	0.0	
PF12773	PF12773	PF13423	PF13423	0.0	
PF01286	PF01286	PF13423	PF13423	0.0	
PF13423	PF13423	PF17032	PF17032	0.0	
PF01352	PF01352	PF02148	PF02148	0.0	
PF02148	PF02148	PF12171	PF12171	0.0	
PF02148	PF02148	PF09723	PF09723	0.0	
PF02148	PF02148	PF16622	PF16622	0.0	
PF02148	PF02148	PF13451	PF13451	0.0	
PF02148	PF02148	PF05191	PF05191	0.0	
PF02148	PF02148	PF12773	PF12773	0.0	
PF01286	PF01286	PF02148	PF02148	0.0	
PF02148	PF02148	PF17032	PF17032	0.0	
PF00443	PF00443	PF13424	PF13424	0.0	
PF06337	PF06337	PF13424	PF13424	0.0	
PF13423	PF13423	PF13424	PF13424	0.0	
PF02148	PF02148	PF13424	PF13424	0.0	
PF00443	PF00443	PF04826	PF04826	0.0	
PF04826	PF04826	PF06337	PF06337	0.0024132754986132	
PF04826	PF04826	PF13423	PF13423	0.0	
PF02148	PF02148	PF04826	PF04826	0.0	
PF00443	PF00443	PF15771	PF15771	0.0127441919243818	
PF06337	PF06337	PF15771	PF15771	0.083486243435045	
PF13423	PF13423	PF15771	PF15771	0.0156536618937149	
PF02148	PF02148	PF15771	PF15771	0.0359674915719429	
PF00443	PF00443	PF10523	PF10523	0.0	
PF06337	PF06337	PF10523	PF10523	0.0072168290940732	
PF10523	PF10523	PF13423	PF13423	0.0016542026229972	
PF02148	PF02148	PF10523	PF10523	0.0042278374769364	
PF00443	PF00443	PF07647	PF07647	0.0	
PF00443	PF00443	PF00536	PF00536	0.0	
PF00443	PF00443	PF02198	PF02198	0.0	
PF06337	PF06337	PF07647	PF07647	0.0	
PF00536	PF00536	PF06337	PF06337	0.0	
PF02198	PF02198	PF06337	PF06337	0.0	
PF07647	PF07647	PF13423	PF13423	0.0	
PF00536	PF00536	PF13423	PF13423	0.0	
PF02198	PF02198	PF13423	PF13423	0.0	
PF02148	PF02148	PF07647	PF07647	0.0	
PF00536	PF00536	PF02148	PF02148	0.0	
PF02148	PF02148	PF02198	PF02198	0.0	
PF00443	PF00443	PF16564	PF16564	0.0	
PF00443	PF00443	PF14048	PF14048	0.0	
PF06337	PF06337	PF16564	PF16564	0.0033386526782597	
PF06337	PF06337	PF14048	PF14048	0.0033386526782597	
PF13423	PF13423	PF16564	PF16564	0.0	
